0 0 1.105520486831665039e+00
0 1 1.103547811508178711e+00
0 2 1.113549113273620605e+00
0 3 1.142674446105957031e+00
0 4 1.196471333503723145e+00
0 5 1.273286223411560059e+00
0 6 1.367636680603027344e+00
0 7 1.474128961563110352e+00
0 8 1.588838100433349609e+00
0 9 1.709286093711853027e+00
1 0 1.107696175575256348e+00
1 1 1.080528140068054199e+00
1 2 1.070219993591308594e+00
1 3 1.084881901741027832e+00
1 4 1.127771139144897461e+00
1 5 1.195566058158874512e+00
1 6 1.281792163848876953e+00
1 7 1.380422472953796387e+00
1 8 1.487278461456298828e+00
1 9 1.600376248359680176e+00
2 0 1.124258399009704590e+00
2 1 1.075410127639770508e+00
2 2 1.047749042510986328e+00
2 3 1.048312902450561523e+00
2 4 1.078875422477722168e+00
2 5 1.135072588920593262e+00
2 6 1.209573984146118164e+00
2 7 1.295966625213623047e+00
2 8 1.391170978546142578e+00
2 9 1.495200514793395996e+00
3 0 1.156476616859436035e+00
3 1 1.091207027435302734e+00
3 2 1.048931479454040527e+00
3 3 1.035578370094299316e+00
3 4 1.052186012268066406e+00
3 5 1.092975020408630371e+00
3 6 1.150246858596801758e+00
3 7 1.219585537910461426e+00
3 8 1.301461577415466309e+00
3 9 1.396404743194580078e+00
4 0 1.206648111343383789e+00
4 1 1.129403471946716309e+00
4 2 1.074743747711181641e+00
4 3 1.047726392745971680e+00
4 4 1.047749161720275879e+00
4 5 1.068337202072143555e+00
4 6 1.103568434715270996e+00
4 7 1.154555916786193848e+00
4 8 1.223315000534057617e+00
4 9 1.308743119239807129e+00
5 0 1.274471521377563477e+00
5 1 1.188263654708862305e+00
5 2 1.123016357421875000e+00
5 3 1.082432150840759277e+00
5 4 1.064138889312744141e+00
5 5 1.061702251434326172e+00
5 6 1.075227975845336914e+00
5 7 1.108856916427612305e+00
5 8 1.163771748542785645e+00
5 9 1.237085938453674316e+00
6 0 1.359990119934082031e+00
6 1 1.266826033592224121e+00
6 2 1.192511677742004395e+00
6 3 1.139110922813415527e+00
6 4 1.102659463882446289e+00
6 5 1.079391956329345703e+00
6 6 1.073277115821838379e+00
6 7 1.088561773300170898e+00
6 8 1.124156832695007324e+00
6 9 1.169530510902404785e+00
7 0 1.462590694427490234e+00
7 1 1.364358901977539062e+00
7 2 1.282942056655883789e+00
7 3 1.218827009201049805e+00
7 4 1.167057394981384277e+00
7 5 1.125718951225280762e+00
7 6 1.098833799362182617e+00
7 7 1.084390401840209961e+00
7 8 1.077036738395690918e+00
7 9 1.087081909179687500e+00
8 0 1.580763578414916992e+00
8 1 1.478960752487182617e+00
8 2 1.392138004302978516e+00
8 3 1.319054484367370605e+00
8 4 1.252841234207153320e+00
8 5 1.187544345855712891e+00
8 6 1.120465159416198730e+00
8 7 1.066095829010009766e+00
8 8 1.032694458961486816e+00
8 9 1.023795962333679199e+00
9 0 1.709674954414367676e+00
9 1 1.605075716972351074e+00
9 2 1.513406038284301758e+00
9 3 1.429140329360961914e+00
9 4 1.328760504722595215e+00
9 5 1.229308366775512695e+00
9 6 1.140774250030517578e+00
9 7 1.068919897079467773e+00
9 8 1.017967343330383301e+00
9 9 9.908636212348937988e-01
