35
-35.0     120.0
-35.0     125.0
-35.0     130.0
-35.0     135.0
-35.0     140.0
-35.0     145.0
-35.0     150.0
-30.0     120.0
-30.0     125.0
-30.0     130.0
-30.0     135.0
-30.0     140.0
-30.0     145.0
-30.0     150.0
-25.0     120.0
-25.0     125.0
-25.0     130.0
-25.0     135.0
-25.0     140.0
-25.0     145.0
-25.0     150.0
-20.0     120.0
-20.0     125.0
-20.0     130.0
-20.0     135.0
-20.0     140.0
-20.0     145.0
-20.0     150.0
-15.0     120.0
-15.0     125.0
-15.0     130.0
-15.0     135.0
-15.0     140.0
-15.0     145.0
-15.0     150.0
