1.000000000000000000e+00 2.000000000000000000e+01 2.727272727272727071e+00
2.000000000000000000e+00 2.000000000000000000e+01 5.454545454545454142e+00
3.000000000000000000e+00 2.000000000000000000e+01 8.181818181818181657e+00
4.000000000000000000e+00 2.000000000000000000e+01 1.090909090909090828e+01
5.000000000000000000e+00 2.000000000000000000e+01 1.363636363636363491e+01
6.000000000000000000e+00 2.000000000000000000e+01 1.636363636363636331e+01
7.000000000000000000e+00 2.000000000000000000e+01 1.909090909090908994e+01
8.000000000000000000e+00 2.000000000000000000e+01 2.181818181818181657e+01
9.000000000000000000e+00 2.000000000000000000e+01 2.454545454545454319e+01
1.000000000000000000e+01 2.000000000000000000e+01 2.727272727272726982e+01
